verbatim,normalized,duration,scenario,fname,native_language,gender,age_group,native_state,native_district,sp_id,text,lang,task_name,job_category,occupation_domain,occupation,job_type,age-group,qual,qc1_applied
अर्थव्यवस्था,अर्थव्यवस्था,1.0229375,Extempore,5348024557503939_f356_chunk_4_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,अर्थव्यवस्था,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_4_silence_insertion+QC1_5_upsampling_simulation
और कॉमर्स में इसकी क्या प्रभाव होगी ये हमको उतना उचित तरीके से समझ में नहीं आया है और मैं मानता हूँ कि यह बहुत ही कम,और कॉमर्स [Commerce] में इसकी क्या प्रभाव होगी यह हमको उतना उचित तरीके से समझ में नहीं आया है और मैं मानता हूँ कि यह बहुत ही कम,11.103,Extempore,5348024557503939_f356_chunk_5_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,और कॉमर्स में इसकी क्या प्रभाव होगी यह हमको उतना उचित तरीके से समझ में नहीं आया है और मैं मानता हूँ कि यह बहुत ही कम,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
ये लोकल इकोनॉमी और ट्रेड और कॉमर्स में बहुत ही कम प्रयोग किया जाता है अगर इसको प्रयोग किया जाता है तो [uhh] जैसे की गैर नेपाली भाषी लोगों ने अगर बिज़नेस वगैरह में इसको यूज़ किया,यह लोकल [Local] इकोनॉमी [Economy] और ट्रेड [Trade] और कॉमर्स [Commerce] में बहुत ही कम प्रयोग किया जाता है अगर इसको प्रयोग किया जाता है तो [uhh] जैसे की गैर नेपाली भाषी लोगों ने अगर बिज़नेस [Business] वगैरह में इसको यूज़ [Use] किया,15.039,Extempore,5348024557503939_f356_chunk_6_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,यह लोकल इकोनॉमी और ट्रेड और कॉमर्स में बहुत ही कम प्रयोग किया जाता है अगर इसको प्रयोग किया जाता है तो जैसे की गैर नेपाली भाषी लोगों ने अगर बिज़नेस वगैरह में इसको यूज़ किया,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_4_silence_insertion+QC1_5_upsampling_simulation
तो उन लोगों को ही परेशानी होगी बिज़नेस करने में क्युंकि यहाँ के नेपाली भाषी लोग हिंदी उतनी अच्छे तरीके से समझ समझते नहीं हैं तो कम्युनिकेशन का प्रॉब्लम होगा,तो उन लोगों को ही परेशानी होगी बिज़नेस [Business] करने में क्योंकि यहाँ के नेपाली भाषी लोग हिंदी उतनी अच्छे तरीके से समझ समझते नहीं हैं तो कम्युनिकेशन [Communication] का प्रॉब्लम [Problem] होगा,14.751,Extempore,5348024557503939_f356_chunk_7_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,तो उन लोगों को ही परेशानी होगी बिज़नेस करने में क्योंकि यहाँ के नेपाली भाषी लोग हिंदी उतनी अच्छे तरीके से समझ समझते नहीं हैं तो कम्युनिकेशन का प्रॉब्लम होगा,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_4_silence_insertion
जिस कारण से गैर नेपालीवासी लोगों को भी यहाँ पे सेटल हो जाने के बाद धीरे धीरे नेपाली भाषा ही सीखना पड़ता है और हिन्दी भाषा उन लोगों के लिए भी बिल्कुल एक पारिवारिक भाषा बन के रह जाता,जिस कारण से गैर नेपालीवासी लोगों को भी यहाँ पर सेटल [Settle] हो जाने के बाद धीरे-धीरे नेपाली भाषा ही सीखना पड़ता है और हिन्दी भाषा उन लोगों के लिए भी बिल्कुल एक पारिवारिक भाषा बन कर रह जाता,17.439,Extempore,5348024557503939_f356_chunk_8_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,जिस कारण से गैर नेपालीवासी लोगों को भी यहाँ पर सेटल हो जाने के बाद धीरे धीरे नेपाली भाषा ही सीखना पड़ता है और हिन्दी भाषा उन लोगों के लिए भी बिल्कुल एक पारिवारिक भाषा बन कर रह जाता,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_5_upsampling_simulation
मैं एक बहुत ही सामान्य आदमी हूँ इसलिए मेरा उतना बड़ा उपलब्धया जीवन में रहा नहीं है,मैं एक बहुत ही सामान्य आदमी हूँ इसलिए मेरा उतना बड़ा उपलब्धियाँ जीवन में रहा नहीं है,7.551,Extempore,5348024557503941_f706_chunk_0_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,मैं एक बहुत ही सामान्य आदमी हूँ इसलिए मेरा उतना बड़ा उपलब्धियाँ जीवन में रहा नहीं है,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_4_silence_insertion
पर,पर,0.351,Extempore,5348024557503941_f706_chunk_1_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,पर,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_4_silence_insertion
मैंने,मैंने,0.543,Extempore,5348024557503941_f706_chunk_2_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,मैंने,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_4_silence_insertion
में शिक्षा,में शिक्षा,1.0229375,Extempore,5348024557503941_f706_chunk_3_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,में शिक्षा,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
कम अपने गाँव से आरंभ किया उसके बाद होते होते दार्जिलिंग वगैरह में पढ़ते हुए मैंने अंततः [uhh] जीव विज्ञान,कम अपने गाँव से आरंभ किया उसके बाद होते होते दार्जिलिंग वगैरह में पढ़ते हुए मैंने अंततः [uhh] जीव विज्ञान,12.831,Extempore,5348024557503941_f706_chunk_4_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,कम अपने गाँव से आरंभ किया उसके बाद होते होते दार्जिलिंग वगैरह में पढ़ते हुए मैंने अंततः जीव विज्ञान,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_4_silence_insertion
विषय में अपना मास्टर्स किया तो जीवन में हमें लगता है मैंने कुछ उपलब्धियाँ हासिल की तो यही सबसे बड़ा उपलब्धि होगी,विषय में अपना मास्टर्स [Masters] किया तो जीवन में हमें लगता है मैंने कुछ उपलब्धियाँ हासिल की तो यही सबसे बड़ा उपलब्धि होगी,11.67,Extempore,5348024557503941_f706_chunk_5_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,विषय में अपना मास्टर्स किया तो जीवन में हमें लगता है मैंने कुछ उपलब्धियाँ हासिल की तो यही सबसे बड़ा उपलब्धि होगी,hi,Icebreakers,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_4_silence_insertion
मेरा फेवरेट [throat_clearing] राइटर,मेरा फेवरेट [Favourite] [throat_clearing] राइटर [Writer],2.079,Extempore,5348024557503946_f358_chunk_0_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,मेरा फेवरेट राइटर,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
लेखक गाब्रियल गार्सिया मार्केज़ है और इंद्रबहादुर राई,लेखक गाब्रियल [Gabriel] गार्सिया [Garcia] मार्केज़ [Marquez] है और इंद्रबहादुर राई,3.923,Extempore,5348024557503946_f358_chunk_1_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,लेखक गाब्रियल गार्सिया मार्केज़ है और इंद्रबहादुर राई,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_2_corrupt_simulation
दोनों को मैं बहुत ही अच्छा लेखक मानता हूँ,दोनों को मैं बहुत ही अच्छा लेखक मानता हूँ,4.287,Extempore,5348024557503946_f358_chunk_2_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,दोनों को मैं बहुत ही अच्छा लेखक मानता हूँ,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
हालाँकि दोनों का ही अभी तक मृत्यु हो चुका है,हालाँकि दोनों का ही अभी तक मृत्यु हो चुका है,3.231,Extempore,5348024557503946_f358_chunk_3_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,हालाँकि दोनों का ही अभी तक मृत्यु हो चुका है,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
तो इंद्रबहादुर राई हमारे क्षेत्र से ही होते हुआ करते करते थे,तो इंद्रबहादुर राई हमारे क्षेत्र से ही होते हुआ करते करते थे,5.15,Extempore,5348024557503946_f358_chunk_4_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,तो इंद्रबहादुर राई हमारे क्षेत्र से ही होते हुआ करते करते थे,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_4_silence_insertion+QC1_5_upsampling_simulation
उन्होंने बहुत ही अच्छा किताब वगैरह लिखा है कहानी और उपन्यास क्षेत्र में ज़्यादा काम किया है उन्होंने और उनका एक,उन्होंने बहुत ही अच्छा किताब वगैरह लिखा है कहानी और उपन्यास क्षेत्र में ज़्यादा काम किया है उन्होंने और उनका एक,10.143,Extempore,5348024557503946_f358_chunk_5_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,उन्होंने बहुत ही अच्छा किताब वगैरह लिखा है कहानी और उपन्यास क्षेत्र में ज़्यादा काम किया है उन्होंने और उनका एक,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_5_upsampling_simulation
कथा संग्रह हमको बहुत ही,कथा संग्रह हमको बहुत ही,2.079,Extempore,5348024557503946_f358_chunk_6_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,कथा संग्रह हमको बहुत ही,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
अच्छा तरीका से याद है वह है विपना कतिपयक तो बहुत ही अच्छे कथा है जो यहाँ के समाज,अच्छा तरीका से याद है वह है विपना कतिपय तो बहुत ही अच्छे कथा है जो यहाँ के समाज,9.567,Extempore,5348024557503946_f358_chunk_7_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,अच्छा तरीका से याद है वह है विपना कतिपय तो बहुत ही अच्छे कथा है जो यहाँ के समाज,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
को प्रतिनिधित्व करने वाली कथाएँ उसमें हैं और आजर अमितास उनका बहुत ही लोकप्रिय उपन्यास है यह अंग्रेजी भाषा में भी अनुवाद किया गया है इस किताब को बहुत ही अच्छा लगता है गब्रियल गार्सिया मार्केज का वन हंड्रेड इयर्स ऑफ सॉलिट्यूड,को प्रतिनिधित्व करने वाली कथाएँ उसमें हैं और आजर अमितास उनका बहुत ही लोकप्रिय उपन्यास है यह अंग्रेजी भाषा में भी अनुवाद किया गया है इस किताब को बहुत ही अच्छा लगता है गब्रियल [Gabriel] गार्सिया [Garcia] मार्केज [Marquez] का वन [One] हंड्रेड [Hundred] इयर्स [Years] ऑफ [Of] सॉलिट्यूड [Solitude],18.111,Extempore,5348024557503946_f358_chunk_8_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,को प्रतिनिधित्व करने वाली कथाएँ उसमें हैं और आजर अमितास उनका बहुत ही लोकप्रिय उपन्यास है यह अंग्रेजी भाषा में भी अनुवाद किया गया है इस किताब को बहुत ही अच्छा लगता है गब्रियल गार्सिया मार्केज का वन हंड्रेड इयर्स ऑफ सॉलिट्यूड,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_4_silence_insertion+QC1_5_upsampling_simulation
क्रॉनिकल्स ऑफ़ अ डेथ फोरटोल्ड लॉव इन द टाइम ऑफ कोलेरा ऑटम ओफ द पैट्रिआर्क ये किताबें हमको बहुत ही अच्छा लगता है,क्रॉनिकल्स [Chronicles] ऑफ़ [Of] अ [A] डेथ [Death] फोरटोल्ड [Foretold] लॉव [Love] इन [In] द [The] टाइम [Time] ऑफ [Of] कोलेरा [Cholera] ऑटम [Autumn] ऑफ [Of] द [The] पैट्रिआर्क [Patriarch] यह किताबें हमको बहुत ही अच्छा लगता है,10.91,Extempore,5348024557503946_f358_chunk_9_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,क्रॉनिकल्स ऑफ़ अ डेथ फोरटोल्ड लॉव इन द टाइम ऑफ कोलेरा ऑटम ऑफ द पैट्रिआर्क यह किताबें हमको बहुत ही अच्छा लगता है,hi,Leisure activities,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
ये परिवार का जो महिलाएँ होती हैं उनको शामिल [noise] करना उनके विषय को शामिल करना,यह परिवार का जो महिलाएँ होती हैं उनको शामिल [noise] करना उनके विषय को शामिल करना,7.551,Extempore,5348024557503950_f359_chunk_0_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,यह परिवार का जो महिलाएँ होती हैं उनको शामिल करना उनके विषय को शामिल करना,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_5_upsampling_simulation
समाचार पत्र और रेडियो में ये बहुत ही अच्छी बात है पर आजकल रेडियो में समाचार सुनता कौन है,समाचार पत्र और रेडियो [Radio] में यह बहुत ही अच्छी बात है पर आजकल रेडियो [Radio] में समाचार सुनता कौन है,6.974,Extempore,5348024557503950_f359_chunk_1_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,समाचार पत्र और रेडियो में यह बहुत ही अच्छी बात है पर आजकल रेडियो में समाचार सुनता कौन है,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_2_corrupt_simulation
बहुत ही कम ऐसे लोग होंगे जो रेडियो में समाचार सुनते हैं और,बहुत ही कम ऐसे लोग होंगे जो रेडियो [Radio] में समाचार सुनते हैं और,4.094,Extempore,5348024557503950_f359_chunk_2_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,बहुत ही कम ऐसे लोग होंगे जो रेडियो में समाचार सुनते हैं और,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
समाचार पत्र भी कम बहुत ही कम लोग पढ़ा करते हैं तो,समाचार पत्र भी कम बहुत ही कम लोग पढ़ा करते हैं तो,3.919,Extempore,5348024557503950_f359_chunk_3_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,समाचार पत्र भी कम बहुत ही कम लोग पढ़ा करते हैं तो,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
एक हिसाब से हमारे जो सामाजिक व्यवस्था है,एक हिसाब से हमारे जो सामाजिक व्यवस्था है,4.19,Extempore,5348024557503950_f359_chunk_4_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,एक हिसाब से हमारे जो सामाजिक व्यवस्था है,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_2_corrupt_simulation
यह ही इस तरीके का है कि,यह ही इस तरीके का है कि,2.559,Extempore,5348024557503950_f359_chunk_5_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,यह ही इस तरीके का है कि,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
महिलाओं को बहुत ही कम समय मिलता है यह सब काम करने में पेपर वगैरह पढ़ने में वैसे ही पेपर पढ़ने वाले लोगों की संख्या बहुत ही कम,महिलाओं को बहुत ही कम समय मिलता है यह सब काम करने में पेपर [Paper] वगैरह पढ़ने में वैसे ही पेपर [Paper] पढ़ने वाले लोगों की संख्या बहुत ही कम,9.278,Extempore,5348024557503950_f359_chunk_6_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,महिलाओं को बहुत ही कम समय मिलता है यह सब काम करने में पेपर वगैरह पढ़ने में वैसे ही पेपर पढ़ने वाले लोगों की संख्या बहुत ही कम,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
होती चली है तो इस हिसाब से हमें नहीं लगता कि प्रोग्राम बहुत ही कम प्रोग्राम होंगे पर मैंने ऐसे बहुत ही कम देखे [noise] हैं जो,होती चली है तो इस हिसाब से हमें नहीं लगता कि प्रोग्राम [Program] बहुत ही कम प्रोग्राम [Program] होंगे पर मैंने ऐसे बहुत ही कम देखे [noise] हैं जो,11.102,Extempore,5348024557503950_f359_chunk_7_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,होती चली है तो इस हिसाब से हमें नहीं लगता कि प्रोग्राम बहुत ही कम प्रोग्राम होंगे पर मैंने ऐसे बहुत ही कम देखे हैं जो,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_4_silence_insertion
बिल्कुल इहि के स्थानीय लोगों का लिखा हुआ स्थानीय लोगों का प्रस्तुत किया हुआ और,बिल्कुल यहीं के स्थानीय लोगों का लिखा हुआ स्थानीय लोगों का प्रस्तुत किया हुआ और,7.166,Extempore,5348024557503950_f359_chunk_8_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,बिल्कुल यहीं के स्थानीय लोगों का लिखा हुआ स्थानीय लोगों का प्रस्तुत किया हुआ और,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_5_upsampling_simulation
महिलाओं को केंद्र करके योजनाबद्ध किया हुआ कार्यक्रम मैंने रेडियो वगैरह में नहीं सुना है ना ही मैंने समाचार [noise] पत्रों में देखा है स्थानीय समाचार पत्रों में,महिलाओं को केंद्र करके योजनाबद्ध किया हुआ कार्यक्रम मैंने रेडियो [Radio] वगैरह में नहीं सुना है ना ही मैंने समाचार [noise] पत्रों में देखा है स्थानीय समाचार पत्रों में,11.067,Extempore,5348024557503950_f359_chunk_9_subchunk_1.wav,Nepali,Male,30-45,West Bengal,Darjeeling,9083200392594,महिलाओं को केंद्र करके योजनाबद्ध किया हुआ कार्यक्रम मैंने रेडियो वगैरह में नहीं सुना है ना ही मैंने समाचार पत्रों में देखा है स्थानीय समाचार पत्रों में,hi,Mass communication,Other,Education and Research,Project Associate,White Collar,30-45,Post Grad + PhD,QC1_1_format_conversion+QC1_4_silence_insertion
वह अगले साल आठ मार्च को एक प्रतिबद्ध उल्लेख के लिए अदालत में वापिस आने वाला है,वह अगले साल आठ मार्च [March] को एक प्रतिबद्ध उल्लेख के लिए अदालत में वापस आने वाला है,7.314,Read,5348024557503958_f1033_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,वह अगले साल आठ मार्च को एक प्रतिबद्ध उल्लेख के लिए अदालत में वापस आने वाला है,hi,Wikipedia Sentences,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_4_silence_insertion
इन मामलों में नरम तालु भी फटा हुआ होता है,इन मामलों में नर्म तालु भी फटा हुआ होता है,4.022,Read,5348024557503959_f2071_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,इन मामलों में नर्म तालु भी फटा हुआ होता है,hi,Wikipedia Sentences,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
कृपया स्नानगर में रोशनी का रंग बदलें,कृपया स्नानघर में रौशनी का रंग बदलें,3.079,Read,5348024557503962_f2072_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,कृपया स्नानघर में रौशनी का रंग बदलें,hi,Everyday tasks,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion+QC1_5_upsampling_simulation
केवल उन्नीस सौ नब्बे के बाद का ईसाई संगीत चुन कर चलाया जाए,केवल उन्नीस सौ नब्बे के बाद का ईसाई संगीत चुन कर चलाया जाए,6.105,Read,5348024557503963_f1116_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,केवल उन्नीस सौ नब्बे के बाद का ईसाई संगीत चुन कर चलाया जाए,hi,Everyday tasks,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
क्या आप मेरे ख़रीदारी कार्ड से स्प्रिंग फ़ेस्ट रूम फ़्रेशनर हटा सकते हैं,क्या आप मेरे ख़रीददारी कार्ड [Cart] से स्प्रिंग [Spring] फ़ेस्ट [Fest] रूम [Room] फ़्रेशनर [Freshener] हटा सकते हैं,6.082,Read,5348024557503966_f2073_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,क्या आप मेरे ख़रीददारी कार्ड से स्प्रिंग फ़ेस्ट रूम फ़्रेशनर हटा सकते हैं,hi,Online grocery shopping,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_4_silence_insertion
कार्ट में योसविटा न्यूट्रिशेक न्यूट्रिशन सप्लीमेंट एप्पीटेज़ चिप्स और बीबी रॉयल किशमिश भंडार में नहीं हैं,कार्ट [Cart] में योसविटा [Yosvita] न्यूट्रिशेक [Nutrishake] न्यूट्रिशन [Nutrition] सप्लीमेंट [Suppliment] एप्पीटेज़ चिप्स [Chips] और बी [B] बी [B] रॉयल [Royal] किशमिश भंडार में नहीं हैं,10.442,Read,5348024557503968_f1119_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,कार्ट में योसविटा न्यूट्रिशेक न्यूट्रिशन सप्लीमेंट एप्पीटेज़ चिप्स और बी बी रॉयल किशमिश भंडार में नहीं हैं,hi,Online grocery shopping,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
मुझे दस दस दो हज़ार उन्नीस से तेरह चार दो हज़ार इक्कीस तक का मेरा लेन देन इतिहास दिखाएँ,मुझे दस दस दो हज़ार उन्नीस से तेरह चार दो हज़ार इक्कीस तक का मेरा लेन-देन इतिहास दिखाएँ,9.687,Read,5348024557503969_f973_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,मुझे दस दस दो हज़ार उन्नीस से तेरह चार दो हज़ार इक्कीस तक का मेरा लेन देन इतिहास दिखाएँ,hi,Digital payment services,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_4_silence_insertion+QC1_5_upsampling_simulation
क्या आप सत्यापित कर सकते हैं कि मेरे तीन सौ रुपये अभी मेरे आईसीआईसीआई पॉकेट्स द्वारा प्राप्त किया गया था,क्या आप सत्यापित कर सकते हैं कि मेरे तीन सौ रुपये अभी मेरे आई [I] सी [C] आई [I] सी [C] आई [I] पॉकेट्स [Pockets] द्वारा प्राप्त किया गया था,8.936,Read,5348024557503972_f2078_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,क्या आप सत्यापित कर सकते हैं कि मेरे तीन सौ रुपये अभी मेरे आई सी आई सी आई पॉकेट्स द्वारा प्राप्त किया गया था,hi,Digital payment services,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
मोबाइल नम्बर छे चार तीन सात तीन पाँच शून्य एक एक नौ तीन के लिए उमंग में लॉगिन करने के लिए ओटीपी छे पाँच नौ नौ शून्य शून्य है,मोबाइल [Mobile] नम्बर [Number] छः चार तीन सात तीन पाँच शून्य एक एक नौ तीन के लिए उमंग में लॉगिन [Login] करने के लिए ओ [O] टी [T] पी [P] छः पाँच नौ नौ शून्य शून्य है,15.257,Read,5348024557503973_f2075_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,मोबाइल नम्बर छः चार तीन सात तीन पाँच शून्य एक एक नौ तीन के लिए उमंग में लॉगिन करने के लिए ओ टी पी छः पाँच नौ नौ शून्य शून्य है,hi,Online government services,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_5_upsampling_simulation
आपका एम पिन मोबाइल नम्बर सात एक तीन नौ एक तीन नौ छे छे दो चार के लिए अमान्य है,आपका एम [M] पिन [PIN] मोबाइल [Mobile] नम्बर [Number] सात एक तीन नौ एक तीन नौ छः छः दो चार के लिए अमान्य है,10.634,Read,5348024557503976_f2076_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,आपका एम पिन मोबाइल नम्बर सात एक तीन नौ एक तीन नौ छः छः दो चार के लिए अमान्य है,hi,Online government services,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_4_silence_insertion
पेड़,पेड़,0.431,Read,5348024557503983_f2079_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,पेड़,hi,Keywords,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_3_sample_rate_reduction+QC1_4_silence_insertion
बचाओ,बचाओ,0.842,Read,5348024557503986_f2080_chunk_0_subchunk_1.wav,Konkani,Male,18-30,Goa,South Goa,9521900328943,बचाओ,hi,Keywords,Freelance,Travel and Hospitality,Travel,White Collar,18-30,Post Grad + PhD,QC1_1_format_conversion+QC1_3_sample_rate_reduction
